Date,DPIS
2019/10/14,-0.996933242
2019/10/15,-1.302219062
2019/10/16,-0.850161213
2019/10/17,-0.607119359
2019/10/18,-0.577913489
2019/10/21,-1.705930365
2019/10/22,-1.754734923
2019/10/23,-1.442141729
2019/10/24,-0.199544906
2019/10/25,1.181408287
2019/10/28,-1.388325319
2019/10/29,-0.163538043
2019/10/30,-0.431589131
2019/10/31,-1.369767936
2019/11/1,-0.298871153
2019/11/4,-0.832801081
2019/11/5,-0.633497742
2019/11/6,-1.791948398
2019/11/7,-0.653688603
2019/11/8,0.831601618
2019/11/11,0.345759022
2019/11/12,-0.454452312
2019/11/13,0.979596747
2019/11/14,-0.148917075
2019/11/15,0.093373258
2019/11/18,1.268859954
2019/11/19,-0.042915054
2019/11/20,-1.735527968
2019/11/21,-0.399860635
2019/11/22,0.133754981
2019/11/25,-1.251338092
2019/11/26,-1.476548943
2019/11/27,0.306891615
2019/11/28,-1.071758198
2019/11/29,0.318953914
2019/12/2,0.097007613
2019/12/3,-0.7849292
2019/12/4,-0.329641832
2019/12/5,-0.128233754
2019/12/6,0.812167914
2019/12/9,-1.675346175
2019/12/10,0.529495858
2019/12/11,0.529495858
2019/12/12,-0.431589131
2019/12/13,-0.431589131
2019/12/16,-1.388325319
2019/12/17,-0.742528392
2019/12/18,-1.208937284
2019/12/19,-0.182837722
2019/12/20,0.118534178
2019/12/23,-0.311997107
2019/12/24,-0.996933242
2019/12/25,-1.791948398
2019/12/26,-0.850161213
2019/12/27,0.734433099
2019/12/30,-2.064269288
2019/12/31,-0.209489658
2020/1/2,0.801445871
2020/1/3,0.683098787
2020/1/6,1.256366859
2020/1/7,0.895590643
2020/1/8,-0.797400026
2020/1/9,0.190289392
2020/1/10,0.057029708
2020/1/13,-0.850161213
2020/1/14,-0.431589131
2020/1/15,-1.699894012
2020/1/16,-0.904757572
2020/1/17,0.540096061
2020/1/20,0.306891615
2020/1/21,0.355598872
2020/1/22,-0.042915054
2020/1/23,1.191696718
2020/2/3,-0.698802558
2020/2/4,0.972652694
2020/2/5,0.046778963
2020/2/6,1.188798568
2020/2/7,1.405779231
2020/2/10,-0.64603
2020/2/11,0.051627289
2020/2/12,0.311961277
2020/2/13,-0.431589131
2020/2/14,1.307823568
2020/2/17,0.456808758
2020/2/18,-0.2761195
2020/2/19,1.191696718
2020/2/20,1.194862389
2020/2/21,0.683098787
2020/2/24,0.656698283
2020/2/25,-0.369401278
2020/2/26,-0.163538043
2020/2/27,0.199525211
2020/2/28,0.52128925
2020/3/2,0.727845403
2020/3/3,-0.431589131
2020/3/4,0.12365955
2020/3/5,0.59757603
2020/3/6,1.831049243
2020/3/9,-0.329641832
2020/3/10,0.162853575
2020/3/11,0.20342767
2020/3/12,-0.665858437
2020/3/13,1.033413158
2020/3/16,1.302495211
2020/3/17,0.495249052
2020/3/18,1.789405592
2020/3/19,-0.220782852
2020/3/20,0.590068442
2020/3/23,1.414612733
2020/3/24,-0.695096979
2020/3/25,-0.542638867
2020/3/26,-0.542638867
2020/3/27,-0.35287033
2020/3/30,0.831601618
2020/3/31,1.913630721
2020/4/1,0.3292197
2020/4/2,2.378823422
2020/4/3,1.7591193
2020/4/7,1.456256384
2020/4/8,1.70611829
2020/4/9,1.356311621
2020/4/10,1.216388954
2020/4/13,0.956532571
2020/4/14,1.971123342
2020/4/15,0.490688339
2020/4/16,1.042691849
2020/4/17,1.50274232
2020/4/20,-0.209489658
2020/4/21,0.025674489
2020/4/22,0.94710382
2020/4/23,1.021713938
2020/4/24,0.118534178
2020/4/27,0.190289392
2020/4/28,-0.311997107
2020/4/29,1.123107175
2020/4/30,1.434046436
2020/5/6,-0.685417099
